"","ecomorph"
"ahli","TG"
"allogus","TG"
"rubribarbus","TG"
"imias","TG"
"sagrei","TG"
"bremeri","TG"
"quadriocellifer","TG"
"ophiolepis","GB"
"mestrei","TG"
"jubar","TG"
"homolechis","TG"
"confusus","TG"
"guafe","TG"
"garmani","CG"
"opalinus","TC"
"grahami","TC"
"valencienni","Tw"
"lineatopus","TG"
"evermanni","TC"
"stratulus","TC"
"krugi","GB"
"pulchellus","GB"
"gundlachi","TG"
"poncensis","GB"
"cooki","TG"
"cristatellus","TG"
"brevirostris","Tr"
"caudalis","Tr"
"marron","Tr"
"websteri","Tr"
"distichus","Tr"
"alumina","GB"
"semilineatus","GB"
"olssoni","GB"
"insolitus","Tw"
"whitemani","TG"
"haetianus","TG"
"breslini","TG"
"armouri","TG"
"cybotes","TG"
"shrevei","TG"
"longitibialis","TG"
"strahmi","TG"
"marcanoi","TG"
"baleatus","CG"
"barahonae","CG"
"ricordii","CG"
"cuvieri","CG"
"altitudinalis","TC"
"oporinus","TC"
"isolepis","TC"
"allisoni","TC"
"porcatus","TC"
"loysiana","Tr"
"guazuma","Tw"
"placidus","Tw"
"sheplani","Tw"
"alayoni","Tw"
"angusticeps","Tw"
"paternus","Tw"
"alutaceus","GB"
"inexpectatus","GB"
"clivicola","GB"
"cupeyalensis","GB"
"cyanopleurus","GB"
"alfaroi","GB"
"macilentus","GB"
"vanidicus","GB"
"baracoae","CG"
"noblei","CG"
"smallwoodi","CG"
"luteogularis","CG"
"equestris","CG"
"bahorucoensis","GB"
"dolichocephalus","GB"
"hendersoni","GB"
"darlingtoni","Tw"
"aliniger","TC"
"singularis","TC"
"chlorocyanus","TC"
"coelestinus","TC"
"occultus","Tw"
