"","bodyMass","homeRange"
"U._maritimus",265,115.6
"U._arctos",251.3000002,82.80000004
"U._americanus",93.39999995,56.80000004
"N._narica",4.4,1.05
"P._lotor",7,1.14
"M._mephitis",2.5,2.5
"M._meles",11.59999999,0.870000001
"C._lupus",35.29999997,202.8000002
"C._latrans",13.3,45.00000002
"L._pictus",20.00000002,160.0000001
"C._aureus",8.800000001,9.1
"U._cinereoargenteus",3.7,1.1
"V._fulva",4.8,3.87
"H._hyaena",26.8,152.7999999
"C._crocuta",52.00000004,25.00000002
"A._jubatus",58.79999999,62.09999997
"P._pardus",52.4,23.20000001
"P._tigris",161,69.6
"P._leo",155.7999999,236
"T._bairdii",250.0000002,2
"C._simum",2000.000002,6.65
"D._bicornis",1200,15.59999999
"E._hemionus",200.0000002,34.99999997
"E._caballus",349.9999997,22.49999999
"E._burchelli",234.9999999,164.9999999
"L._guanicoe",95,0.5
"C._dromedarius",550,100
"G._camelopardalis",1074.999999,84.59999999
"S._caffer",620,137.9999999
"B._bison",865,133
"T._oryx",510.9999998,87.5
"G._granti",62.49999995,20.00000002
"G._thomsonii",20.5,5.3
"A._cervicapra",37.50000002,6.499999999
"M._kirki",5,0.043
"O._americanus",113.5000001,22.75
"O._canadensis",85,14.32999999
"H._equinus",226.4999998,80
"A._melampus",53.24999999,3.8
"C._taurinus",215.9999999,75
"D._lunatus",129.9999999,2.2
"A._buselaphus",135.9999999,5
"A._americana",49.99999996,10
"C._canadensis",300.0000002,12.93
"D._dama",55,1.3
"A._alces",383.9999997,16.1
"R._tarandus",100,30.00000002
"O._virginianus",57.00000004,1.96
"O._hemionus",74.00000005,2.85
