"","species_name","GhAhSkew_start_codon","class"
"4485","Anthus caffer",-1,"Aves"
"4995","Progne sinaloae",-1,"Aves"
"347","Henicopernis longicauda",-0.777777777777778,"Aves"
"5289","Andropadus fusciceps",-0.777777777777778,"Aves"
"118","Metallura phoebe",-0.75,"Aves"
"385","Nisaetus pinskeri",-0.75,"Aves"
"80","Chalcostigma herrani",-0.739130434782609,"Aves"
"3671","Laniarius ruficeps",-0.739130434782609,"Aves"
"5650","Zosterops chlorocephalus",-0.733333333333333,"Aves"
"1722","Geositta punensis",-0.714285714285714,"Aves"
"3411","Stigmatura napensis",-0.7,"Aves"
"1715","Geositta antarctica",-0.692307692307692,"Aves"
"3432","Tyrannus tyrannus",-0.666666666666667,"Aves"
"4577","Promerops gurneyi",-0.655172413793103,"Aves"
"2392","Scytalopus stilesi",-0.625,"Aves"
"1210","Aramidopsis plateni",-0.619047619047619,"Aves"
"148","Aegotheles savesi",-0.6,"Aves"
"2376","Scytalopus canus",-0.6,"Aves"
"5312","Eurillas curvirostris",-0.6,"Aves"
"5644","Zosterops albogularis",-0.6,"Aves"
"6353","Loriculus beryllinus",-0.6,"Aves"
"1703","Cranioleuca marcapatae",-0.587412587412587,"Aves"
"3524","Corvus ossifragus",-0.578947368421053,"Aves"
"5659","Zosterops gibbsi",-0.578947368421053,"Aves"
"5700","Zosterops strenuus",-0.578947368421053,"Aves"
"6070","Phoebastria albatrus",-0.576296503662028,"Aves"
"4571","Nectarinia balfouri",-0.555555555555556,"Aves"
"5703","Zosterops tenuirostris",-0.555555555555556,"Aves"
"6600","Glaucidium minutissimum",-0.555555555555556,"Aves"
"1702","Cranioleuca henricae",-0.547619047619048,"Aves"
"5682","Zosterops mouroniensis",-0.545454545454545,"Aves"
"115","Metallura baroni",-0.538461538461538,"Aves"
"6363","Neophema chrysostoma",-0.530721966205837,"Aves"
"85","Coeligena coeligena",-0.529411764705882,"Aves"
"123","Oreotrochilus leucopleurus",-0.529411764705882,"Aves"
"137","Sephanoides fernandensis",-0.529411764705882,"Aves"
"4941","Speirops melanocephalus",-0.523809523809524,"Aves"
"1704","Cranioleuca obsoleta",-0.522556390977444,"Aves"
"3839","Vireo vicinior",-0.52,"Aves"
"631","Rissa brevirostris",-0.51592039800995,"Aves"
"1277","Porphyrio hochstetteri",-0.514097744360902,"Aves"
"2375","Scytalopus atratus",-0.509090909090909,"Aves"
"747","Turnix pyrrhothorax",-0.5,"Aves"
"1268","Neocrex erythrops",-0.5,"Aves"
"1279","Porphyrio madagascariensis",-0.5,"Aves"
"4579","Basileuterus basilicus",-0.5,"Aves"
"4815","Calendulauda barlowi",-0.48936170212766,"Aves"
"1062","Coua serriana",-0.485714285714286,"Aves"
"1412","Polioptila albiloris",-0.475268817204301,"Aves"
"1237","Gallirallus insignis",-0.473684210526316,"Aves"
"5677","Zosterops melanurus",-0.473684210526316,"Aves"
"6777","Nettapus pulchellus",-0.473684210526316,"Aves"
"3831","Vireo griseus",-0.46969696969697,"Aves"
"6637","Ninox boobook",-0.466666666666667,"Aves"
"2387","Scytalopus parvirostris",-0.464912280701754,"Aves"
"1638","Grallaria eludens",-0.459459459459459,"Aves"
"3434","Uromyias agilis",-0.456140350877193,"Aves"
"4371","Agelaius tricolor",-0.455505279034691,"Aves"
"129","Phaethornis longuemareus",-0.454545454545455,"Aves"
"4939","Speirops brunneus",-0.454545454545455,"Aves"
"5613","Stachyris grammiceps",-0.448275862068966,"Aves"
"5860","Celeus lugubris",-0.448275862068966,"Aves"
"1652","Grallaricula lineifrons",-0.444444444444444,"Aves"
"5852","Campethera caroli",-0.439230769230769,"Aves"
"1420","Polioptila nigriceps",-0.438423645320197,"Aves"
"3827","Vireo bellii",-0.4375,"Aves"
"4159","Euphonia affinis",-0.435897435897436,"Aves"
"1194","Eupodotis vigorsii",-0.428571428571429,"Aves"
"1635","Grallaria blakei",-0.428571428571429,"Aves"
"6131","Pterodroma baraui",-0.428571428571429,"Aves"
"4590","Basileuterus luteoviridis",-0.426666666666667,"Aves"
"6060","Podilymbus podiceps",-0.421610263216103,"Aves"
