"","species_name","GhAhSkew_seq_begining","class"
"5289","Andropadus fusciceps",1,"Aves"
"2145","Remiz consobrinus",0.924996324568844,"Aves"
"575","Chroicocephalus scopulinus",0.9,"Aves"
"6849","Somateria fischeri",0.898412698412698,"Aves"
"3450","Philesturnus rufusater",0.870967741935484,"Aves"
"6829","Melanitta americana",0.869983277591973,"Aves"
"4541","Anabathmis reichenbachii",0.867366878358574,"Aves"
"1136","Bucco capensis",0.864731494920174,"Aves"
"6777","Nettapus pulchellus",0.857142857142857,"Aves"
"6907","Chloephaga picta",0.849462365591398,"Aves"
"4057","Heteromunia pectoralis",0.839080459770115,"Aves"
"147","Aegotheles novaezealandiae",0.833333333333333,"Aves"
"336","Haliaeetus sanfordi",0.833333333333333,"Aves"
"2461","Oreoscoptes montanus",0.833333333333333,"Aves"
"5326","Phyllastrephus flavostriatus",0.833333333333333,"Aves"
"451","Penelopides manillae",0.830959752321981,"Aves"
"6922","Tadorna tadorna",0.827440033085194,"Aves"
"4059","Lagonosticta larvata",0.826086956521739,"Aves"
"4115","Lonchura monticola",0.822222222222222,"Aves"
"3937","Epthianura aurifrons",0.818181818181818,"Aves"
"6895","Netta peposaca",0.818181818181818,"Aves"
"6959","Penelope argyrotis",0.818181818181818,"Aves"
"2674","Conirostrum margaritae",0.81651376146789,"Aves"
"426","Aceros nipalensis",0.816328907523876,"Aves"
"760","Ephippiorhynchus asiaticus",0.815270935960591,"Aves"
"4342","Emberiza melanocephala",0.810137421305156,"Aves"
"369","Milvus milvus x Milvus migrans",0.807692307692308,"Aves"
"1267","Micropygia schomburgkii",0.804878048780488,"Aves"
"4116","Lonchura nevermanni",0.804395604395605,"Aves"
"4112","Lonchura melaena",0.801465201465202,"Aves"
"4117","Lonchura nigerrima",0.8,"Aves"
"1260","Laterallus xenopterus",0.798876404494382,"Aves"
"6896","Netta rufina",0.795485636114911,"Aves"
"1908","Cyornis omissus",0.794920634920635,"Aves"
"1877","Copsychus albospecularis",0.793956043956044,"Aves"
"4061","Lagonosticta rhodopareia",0.793103448275862,"Aves"
"590","Larus atlanticus",0.789473684210526,"Aves"
"5291","Andropadus montanus",0.789473684210526,"Aves"
"2000","Muscicapa tessmanni",0.785714285714286,"Aves"
"6402","Polytelis alexandrae",0.785714285714286,"Aves"
"6793","Anas flavirostris",0.784436121514773,"Aves"
"2320","Pitta brachyura",0.783132530120482,"Aves"
"2450","Aplonis metallica",0.782608695652174,"Aves"
"3639","Chloropsis venusta",0.782608695652174,"Aves"
"4862","Mirafra erythrocephala",0.782038242232417,"Aves"
"4699","Passer eminibey",0.781818181818182,"Aves"
"425","Aceros leucocephalus",0.78045515394913,"Aves"
"1135","Spiziapteryx circumcincta",0.779816513761468,"Aves"
"6051","Selenidera piperivora",0.77807075368051,"Aves"
"21","Aerodramus whiteheadi",0.777777777777778,"Aves"
"4068","Nesocharis ansorgei",0.777777777777778,"Aves"
"6913","Neochen jubata",0.777018633540373,"Aves"
"4060","Lagonosticta rara",0.775280898876405,"Aves"
"4439","Molothrus bonariensis",0.772273425499232,"Aves"
"4871","Mirafra rufocinnamomea",0.771929824561403,"Aves"
"4118","Lonchura pallida",0.770114942528736,"Aves"
"4422","Icterus maculialatus",0.768421052631579,"Aves"
"4353","Emberiza stewarti",0.767697102425876,"Aves"
"1928","Eumyias panayensis",0.767441860465116,"Aves"
"6554","Megadyptes antipodes",0.766912806742746,"Aves"
"4114","Lonchura montana",0.765957446808511,"Aves"
"1257","Laterallus ruber",0.765208475734792,"Aves"
"4827","Chersomanes beesleyi",0.764705882352941,"Aves"
"6699","Strix virgata",0.764705882352941,"Aves"
"5069","Garrulax sannio",0.762967963433455,"Aves"
"2773","Oreomanes fraseri",0.762376237623762,"Aves"
"6276","Amazona vinacea",0.762376237623762,"Aves"
"6886","Aythya affinis",0.760869565217391,"Aves"
"2127","Periparus melanolophus",0.760033416875522,"Aves"
"4977","Petrochelidon ariel",0.759036144578313,"Aves"
"4394","Dives bonariensis",0.758241758241758,"Aves"
"6450","Psittacus timneh",0.757356875334403,"Aves"
